id,person_id,event_id
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,10,10
11,11,11
12,12,12
13,13,13
14,14,14
15,15,15
16,16,16
17,17,17
18,18,18
19,19,19
20,20,20
21,21,1
22,22,2
23,23,3
24,1,4
25,2,5
26,3,6
27,27,7
28,28,8
29,29,9
30,1,10
31,2,11
32,3,12
33,33,13
34,34,14
35,35,15
36,36,16
37,37,17
38,38,18
39,39,19
40,40,20
41,41,1
42,42,2
43,43,3
44,44,4
45,45,5
46,46,6
47,47,7
48,48,8
49,49,9
50,50,10
51,51,11
52,52,12
53,53,13
54,54,14
55,1,15
56,2,16
57,3,17
58,58,18
59,59,19
60,60,20
61,61,1
62,62,2
63,63,3
64,64,4
65,65,5
66,66,6
67,67,7
68,68,8
69,69,9
70,70,10
71,71,11
72,72,12
73,73,13
74,74,14
75,75,15
76,76,16
77,77,17
78,78,18
79,79,19
80,80,20
81,81,1
82,82,2
83,83,3
84,84,4
85,85,5
86,86,6
87,87,7
88,88,8
89,89,9
90,90,10
91,91,11
92,92,12
93,93,13
94,94,14
95,95,15
96,96,16
97,97,17
98,98,18
99,99,19
100,100,20
